document_id,CIN,document_type,title,publisher,document_date,download_url,local_filename,file_hash,retrieved_at
DOC_CFC880314A2A,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe AOA (INC-34)-06012022 1769402852016,MCA / Official Corporate Filing,2022-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-06012022_1769402852016.pdf,documents/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-06012022_1769402852016.pdf,4f33638bebad1339695a058da3481d7aba5f69029e591fe0120014062514eab0,2026-08-26T00:00:00Z
DOC_5551800AFC75,U72900MH2021PTC368492,COMPANY_MASTER_DATA,Master data  MCA Services,MCA / Official Corporate Filing,,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Master data  MCA Services.pdf,documents/Adafoa technology Pvt ltd/Master data  MCA Services.pdf,f517c17aeec331dce991a53957719c02aa6011e794a81675962e10a7f0374c47,2026-08-26T00:00:00Z
DOC_8A714BC28808,U72900MH2021PTC368492,CORPORATE_FILING,STAMPED ARTICLES OF ASSOCIATION-20220110 1769402848250,MCA / Official Corporate Filing,2022-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/STAMPED ARTICLES OF ASSOCIATION-20220110_1769402848250.pdf,documents/Adafoa technology Pvt ltd/STAMPED ARTICLES OF ASSOCIATION-20220110_1769402848250.pdf,25d41c607aa8a93853f74543dad95345ab89a90956cd082048a8742dc356c0ec,2026-08-26T00:00:00Z
DOC_D89B2EB5A9F5,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe AOA (INC-34)-29122021 1769402850229,MCA / Official Corporate Filing,2021-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-29122021_1769402850229.pdf,documents/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-29122021_1769402850229.pdf,8bef19010ef1a6acb61899756c4a4601ad204fa5c841ee3ee2bec25f2cb613b7,2026-08-26T00:00:00Z
DOC_51D76DDFE164,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe MOA (INC-33)-29122021 1769402888643,MCA / Official Corporate Filing,2021-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-29122021_1769402888643.pdf,documents/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-29122021_1769402888643.pdf,cc5164d584e0752870785e2d4c096f0c5fd6e6c55269b8d6cf3bc6d3228a4ec1,2026-08-26T00:00:00Z
DOC_6A0A4DAD5737,U72900MH2021PTC368492,CORPORATE_FILING,STAMPED MEMORANDUM OF ASSCOCIATION-20220110 1769402882042,MCA / Official Corporate Filing,2022-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/STAMPED MEMORANDUM OF ASSCOCIATION-20220110_1769402882042.pdf,documents/Adafoa technology Pvt ltd/STAMPED MEMORANDUM OF ASSCOCIATION-20220110_1769402882042.pdf,2dd6fe58d84cde2900a7d2859ffeb9bcc9629e564ccc67d534baaa83e8323612,2026-08-26T00:00:00Z
DOC_FC66FD328F5B,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe MOA (INC-33)-14122021 1769402886001,MCA / Official Corporate Filing,2021-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-14122021_1769402886001.pdf,documents/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-14122021_1769402886001.pdf,2adc7abfc9d3523302f3be788c3aa7fbe86da5d5d3a66ab5c99c04e1c9447c9c,2026-08-26T00:00:00Z
DOC_1A243B210391,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe MOA (INC-33)-06012022 1769402887509,MCA / Official Corporate Filing,2022-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-06012022_1769402887509.pdf,documents/Adafoa technology Pvt ltd/Form SPICe MOA (INC-33)-06012022_1769402887509.pdf,e7a79979c56755b61692f2e18c3250b40eb7945f66a04d632e92c55275b1bd64,2026-08-26T00:00:00Z
DOC_8C0FF5764CE2,U72900MH2021PTC368492,INCORPORATION_CERTIFICATE,CERTIFICATE OF INCORPORATION-20220110 1769402802957,MCA / Official Corporate Filing,2022-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/CERTIFICATE OF INCORPORATION-20220110_1769402802957.pdf,documents/Adafoa technology Pvt ltd/CERTIFICATE OF INCORPORATION-20220110_1769402802957.pdf,69ce6fac83c7e7e4492f9f038d0caffb72fd5a0c578d18555d49fb68ac20b80e,2026-08-26T00:00:00Z
DOC_908664BC126B,U72900MH2021PTC368492,CORPORATE_FILING,Form SPICe AOA (INC-34)-16122021 1769402853888,MCA / Official Corporate Filing,2021-03-31,file:///Users/apple/Downloads/Shell companies/doc/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-16122021_1769402853888.pdf,documents/Adafoa technology Pvt ltd/Form SPICe AOA (INC-34)-16122021_1769402853888.pdf,723c378a1148a4022b2983a33f1b9315070a3c60ae4ddbf9d0f35138e5bdd0e7,2026-08-26T00:00:00Z
